codigo_mesa,departamento,provincia,distrito,participacion_pct,electores_habiles,votos_emitidos,total_validos,winner_party,winner_votes,winner_share_pct,winner_margin_pct,suspicious_party,suspicious_party_share_pct,suspicious_party_z,baseline_mean_share_pct,baseline_source,estimated_excess_votes,winner_last_digit,score,flag_top_0_2_pct
071448,PIURA,AYABACA,PACAIPAMPA,28.26,276,78,72,JUNTOS POR EL PERÚ,61,84.72,79.17,JUNTOS POR EL PERÚ,84.72,2.0595,65.49,distrito,13.85,1,10.1915,True
904681,UCAYALI,CORONEL PORTILLO,IPARÍA,41.54,260,108,66,JUNTOS POR EL PERÚ,55,83.33,78.79,JUNTOS POR EL PERÚ,83.33,1.9148,52.4,distrito,20.41,5,10.1852,True
901367,CAJAMARCA,CHOTA,CHALAMARCA,84.13,271,228,194,JUNTOS POR EL PERÚ,160,82.47,76.29,JUNTOS POR EL PERÚ,82.47,2.2714,71.41,distrito,21.47,0,10.1846,True
901199,CAJAMARCA,CELENDÍN,CHUMUCH,71.23,219,156,106,JUNTOS POR EL PERÚ,90,84.91,79.25,JUNTOS POR EL PERÚ,84.91,1.6481,55.62,provincia,31.04,0,10.1608,True
901423,CAJAMARCA,SANTA CRUZ,CATACHE,69.23,247,171,134,JUNTOS POR EL PERÚ,110,82.09,75.37,JUNTOS POR EL PERÚ,82.09,2.3859,54.64,provincia,36.78,0,10.1594,True
902918,LAMBAYEQUE,FERREÑAFE,CAÑARIS,68.94,293,202,140,JUNTOS POR EL PERÚ,120,85.71,79.29,JUNTOS POR EL PERÚ,85.71,1.2969,65.93,distrito,27.7,0,10.1179,True
902029,HUANCAVELICA,ANGARAES,CCOCHACCASA,90.11,182,164,133,JUNTOS POR EL PERÚ,99,74.44,66.92,JUNTOS POR EL PERÚ,74.44,2.2128,48.8,provincia,34.1,9,10.1115,True
026844,JUNÍN,SATIPO,VIZCATÁN DEL ENE,54.33,300,163,122,JUNTOS POR EL PERÚ,90,73.77,65.57,JUNTOS POR EL PERÚ,73.77,4.3348,25.31,provincia,59.13,0,10.0885,True
020591,HUÁNUCO,HUAMALIES,MIRAFLORES,54.88,297,163,113,JUNTOS POR EL PERÚ,68,60.18,48.67,JUNTOS POR EL PERÚ,60.18,8.0679,2.63,distrito,65.03,8,10.0823,True
901623,CAJAMARCA,SAN IGNACIO,TABACONAS,77.25,211,163,141,JUNTOS POR EL PERÚ,115,81.56,78.01,JUNTOS POR EL PERÚ,81.56,2.1105,69.33,distrito,17.25,5,10.0819,True
902016,HUANCAVELICA,ANGARAES,ANCHONGA,80.0,230,184,150,JUNTOS POR EL PERÚ,121,80.67,76.0,JUNTOS POR EL PERÚ,80.67,2.7506,48.8,provincia,47.8,1,10.0589,True
901191,CAJAMARCA,CELENDÍN,CORTEGANA,65.22,161,105,92,JUNTOS POR EL PERÚ,78,84.78,80.43,JUNTOS POR EL PERÚ,84.78,1.6411,55.62,provincia,26.83,8,10.0574,True
902201,HUÁNUCO,DOS DE MAYO,MARÍAS,64.9,245,159,120,JUNTOS POR EL PERÚ,96,80.0,75.0,JUNTOS POR EL PERÚ,80.0,2.9272,46.31,provincia,40.43,6,10.0522,True
067288,LORETO,DATEM DEL MARAÑÓN,CAHUAPANAS,16.39,299,49,34,JUNTOS POR EL PERÚ,29,85.29,82.35,JUNTOS POR EL PERÚ,85.29,0.7431,74.64,distrito,3.62,9,10.0221,True
901680,CAJAMARCA,SAN MIGUEL,CATILLUC,89.47,95,85,75,JUNTOS POR EL PERÚ,58,77.33,70.67,JUNTOS POR EL PERÚ,77.33,2.3873,51.43,provincia,19.43,8,10.0131,True
902477,HUÁNUCO,YAROWILCA,CHORAS,71.05,76,54,45,JUNTOS POR EL PERÚ,38,84.44,73.33,JUNTOS POR EL PERÚ,84.44,2.4947,57.1,provincia,12.31,8,10.0086,True
